item_id,title,year
66088,Похождения Гекльберри Финна,1884
244278,Рассуждения кота Мура,1821
123890,Легенды и мифы Древней Греции,1922
218448,История государства Российского. Том 7. Государь Великий князь Василий Иоаннович. 1505-1533 года,1816-1829
107656,Пять недель на воздушном шаре,1863
95885,Вверх дном,1889
120341,Сын Казана,1917
282647,Два года каникул,1888
311394,Плавающий город,1870
239050,Золотая петля,1921
91662,Юные путешественники,1903
184809,Мудрость снежной тропы,1899
175092,Тысяча дюжин,1903
202908,Принц и нищий,1881
270536,Поэмы,
23763,Кобзар,1840
259721,Жалобная книга,1884
26225,Консуэло,1843
74512,Рыцарь индустрии,1914
264864,Бригадир,
251132,Дети капитана Гранта,1867
64686,Так говорил Заратустра,1885
159086,Декамерон,1353
219099,Капитал. Том третий,
14282,Палата № 6,1892
65912,Мелкий бес,1902
263368,Дети подземелья,1885
122203,Стойкий оловянный солдатик,1838
193212,Принцесса на горошине,1835
64152,Кот в сапогах,1697
231005,Преступление и наказание,1866
45236,Ночная прогулка,1915
207059,Вечер,1910
126615,Что делать?,1863
171550,Конек-Горбунок,1834
5731,Баллада Рэдингской тюрьмы,1896
269753,Здравомысленный заяц,1885
8813,Ангел смерти,1831
3638,Дурак,1885
87482,Невеста,1903
35187,Лирика,
242041,Безотцовщина (пьеса в 4-х действиях),1878
217410,Недреманное око,1885
209333,Баран-непомнящий,1885
203765,Бедный волк,1883
93723,Черкесы,
29113,"Повесть о том, как один мужик двух генералов прокормил",1869
290125,Карась-идеалист,1884
7008,Портрет,
74224,Кавказский пленник,1828
72717,Эта свинья Морен,
247571,Граф Калиостро,1925
198476,Жидкое солнце,1913
158084,Петька на даче,1899
87978,Анфиса,1909
140097,Скрипка Паганини,1929
93366,Пересолил,1885
137981,Рассказ неизвестного человека,1892-1894
155266,О любви,1898
321392,Бич Божий,1928–1935
80195,Двенадцать,1918
8424,Организация производства как наука,1929
54586,Сказка о молодильных яблоках и живой воде,
169867,Детство,1852
27859,Юность,1857
103047,Декабристы,
299273,Исповедь,1882
251791,На распутьи,1871
150035,Ошибки молодости,1871
305044,Из одного дорожного дневника,
150122,Коляска,
199796,Записки сумасшедшего,
192409,Цыганы,1829
40859,Бог,1916
305745,Разбойник,
39652,Поучение,XII в.
19800,Беглец,1838
207988,Капитал. Том второй,
100321,Что такое обломовщина?,1859
292066,Таинственный остров,1875
177305,Луч света в темном царстве,1860
147734,Москва и москвичи,
226393,Безденежье,1845
320947,"Где тонко, там и рвется",1847
35333,Капля жизни,1884
234080,Дворянское гнездо,1859
54727,Постоялый двор,1855
7057,Сон,1877
231923,Краткий курс по русской истории,2016
305086,История государства Российского. Том 3. От Великого князя Андрея до Великого князя Георгия Всеволодовича,1816-1829
298189,История государства Российского. Том 5. От Великого князя Дмитрия Иоанновича до Иоана III,1816-1829
284459,История государства Российского. Том 8. Великий князь и царь Иоанн IV Васильевич,1816-1829
266250,История государства Российского. Том 10. Царствование Федора Иоанновича. 1584-1598 гг.,1816-1829
238592,История государства Российского. Том 12. От Василия Шуйского до Междуцарствия. 1606-1612 гг.,1816-1829
43662,Подарки феи,1697
293589,Старуха Изергиль,1894
219625,На дне,1902
6722,Братец Кролик и Братец Лис,
214363,Олимп,
33042,Дедал и Икар,
182969,Как Братец Кролик перехитрил Братца Лиса,
315595,Тучкины штучки,
79124,Соловей,1843
225951,Оле-Лукойе,1841
267436,"Черная курица, или Подземные жители",1829
260999,Сказка о рыбаке и рыбке,1833
206570,Мальчики,1887
293630,Ромашка,1838
147103,Баба-Яга,
251856,Василиса Прекрасная,
217482,Иванушка-дурачок,
186453,Как мужик гусей делил,
92015,"«Горе от ума». Комедия в 4-х действиях, в стихах. Сочинение А.С. Грибоедова",1839
235729,Честный вор,1860
177181,Чужая жена и муж под кроватью,1848
256602,Голубая комната,1872
308323,Локис,1869
3797,Джуман,1868
195822,"Правда – хорошо, а счастье лучше",1876
173123,Без вины виноватые,1883
195554,Последняя жертва,1877
256876,Герой нашего времени. Сочинение М. Лермонтова. Издание третье…,1844
254048,"Похождения Чичикова, или Мертвые души (2-е издание)",1847
189218,Бедность не порок,1853
42227,Бесприданница,1878
176635,Гроза,1859
285155,Лес,1870
58405,Волки и овцы,1875
74836,Смерть чиновника,1883
169780,Хамелеон,1884
72609,Лошадиная фамилия,1885
40794,Сивко-Бурко,
269297,Наставление дяди своему племяннику,1788
305321,Чистосердечное признание в делах моих и помышлениях,1791
182675,Сказка про Комара Комаровича – Длинный Нос и про Мохнатого Мишу – Короткий Хвост,
104010,Лев и собачка,
281272,Царевна-лягушка,
242343,"Сказка про храброго Зайца – Длинные Уши, Косые Глаза, Короткий Хвост",
169398,Кто сильнее? Африканская сказка,
56838,Неудача Братца Волка,
59857,Изумруд,1907
161904,Алатырь,1914
147736,Дама с собачкой,1899
307377,Преданная революция: Что такое СССР и куда он идет?,1936
110811,Маленький оборвыш,1876
27780,Юпитер поверженный,1934
249144,Бесы,1871
219439,Бегущая по волнам,1926
4629,Мертвые души,
182360,Вий,1835
9794,Записки охотника,1847-1853
61478,Герой нашего времени,
217386,Отцы и дети,1862
9998,Обломов,1859
306802,Обрыв,1869
128989,Поединок,1905
27971,Сашка Жегулев,1911
8107,Огненный ангел,1908-1909
308913,Юнкера,1933
199104,Дневник лишнего человека,1849
312076,Перманентная революция,
103077,История русской революции. Том I,
276014,"История русской революции. Том II, часть 2",
293330,Советская республика и капиталистический мир. Часть I. Первоначальный период организации сил,
120868,Между империализмом и революцией,
215879,Сталин. Том II,
208695,Пошехонская старина,1888
187048,Губернские очерки,1856
212414,За рубежом,1881
234194,Мелочи жизни,1887
247343,Король смеха,
297202,Жизнь ненужного человека,1908
69533,Отец Горио,1834
35638,Темное царство,1859
311444,О пользе и вреде истории для жизни,1874
187763,Каштанка,1887
140244,Возмездие,1921
239021,О маленькой фее и молодом чабане,1892
126490,Кабала святош,1930
213207,Душечка,1898
207642,Овальный портрет,1845
193487,Свидание,1835
5001,Украденное письмо,1844
173216,Лиса и кувшин,
172810,"Пузырь, соломинка и лапоть",
269346,Теремок,
185896,Как мужик убрал камень,
287319,Кто прав?,
207104,Осёл и лошадь,
3425,Правда всего дороже,
153577,Учёный сын,
279346,Как слон спас хозяина от тигра,
24973,Что такое хорошо и что такое плохо?,1925
312398,Живой мертвец,1838
108759,О любви,
7981,Дюжина ножей в спину революции,
228364,Кипящий котел,
14770,Игрушечного дела людишки,
35888,Медведь на воеводстве,1884
25978,Маленькие трагедии,1830
6679,Моцарт и Сальери,1830
152914,Пир во время чумы,1830
181213,Война и мир. Книга 1,1867
76142,Полтава,1829
230067,Кавказский пленник,1822
170244,Дядя Ваня,1897
205665,Чайка,1896
121544,Человек в футляре,1898
276206,"Сказка об Иване-дураке и его двух братьях: Семене-воине и Тарасе-брюхане, и немой сестре Маланье, и о старом дьяволе и трех чертенятах",1886
248283,Премудрый пискарь,1883
149642,Мцыри,1839
154218,Последний сын вольности,1831
143056,Дьявол,1889
246451,Метель,1856
160394,Леди Макбет Мценского уезда,1865
160201,Свадьба,1889
270546,Страна негодяев,1923
6416,Воскресение,1899
280625,Дьяволиада,1923
159436,Роковые яйца,1924
234071,Мать,1906
35265,Записки юного врача,1925-1926
151126,Тебе единому согрешила,
182015,Женщина на кресте,
164918,Арбенин,1836
121029,Медведко,1891
200356,Игрок,1866
209326,Евгений Онегин,1833
74801,Повести Белкина,1831
163618,Цыганы,1827
176480,Подросток,1875
233920,Скверный анекдот,1862
149575,Бахчисарайский фонтан,1824
96052,Сказка о попе и о работнике его Балде,1830
92867,Вечный муж,1870
267828,Кормилец,1885
125884,Мудрые девы,1910
50678,Царица поцелуев,
230002,Графиня Шатобриан,1843
28800,Рикша-призрак,1885
249205,Ледяные боги,1927
300450,С Земли на Луну прямым путем за 97 часов 20 минут,1865
291806,Женская война,1849
262825,Американский претендент,1892
20629,Маскарад,1835
32743,Двадцать тысяч лье под водой,1869-70
163761,Похождения Тома Сойера,1876
2669,Рассказ о Маленьком Муке,1825
197375,Карлик Hoc,1826
242144,Этика,
147035,Легенда об Уленшпигеле и Ламме Гудзаке,1867
301337,Дальнейшие приключения Робинзона Крузо,1719
310086,Приключения капитана Гаттераса,1866
316776,Малыш,1893
87645,Зеленый луч,1882
305402,Миссис Брэникен,1891
138398,Погоня,1916
139194,Черная Индия,1877
142795,Жена короля,1899
171119,Казан,1914
291733,Гиперборейский напиток,1900
63978,Жанна д'Арк,1896
277735,Толстый и тонкий,1883
110263,Американец,
54414,Севастопольские рассказы,1855
204337,Отец,1909
127758,По прихоти короля,
136717,Лучшие басни для детей,2014
68088,Как будто вне любви есть в жизни что-нибудь…,
63342,Недоросль,1781
100859,Петух и жерновцы,
141426,"Сказка о царе Салтане, о сыне его славном и могучем богатыре князе Гвидоне Салтановиче и о прекрасной царевне Лебеди",1831
227384,Комедия ошибок,1591
171795,Виндзорские насмешницы,1623
158612,Мартин Иден,1909
51895,Враг всего мира,1907
304074,Хитрая наука,
126581,Мы,1920
84694,Огниво,1835
31238,Красная Шапочка,1697
126091,Спящая красавица,1696
298017,Белолобый,1895
128923,Арвентур,1910
100290,Кот-обормот,
197348,Молитва и жизнь,
32983,"Трое в лодке, не считая собаки",
283431,Мастер и Маргарита Краткий пересказ произведения М. Булгакова,
240515,Робинзон Крузо Краткий пересказ произведения Д. Дефо,
263683,Преступление и наказание Пересказ произведения Ф. М. Достоевского,
288335,Одиссея Краткий пересказ произведения Гомера,
118302,Дон Кихот,
117253,Ромео и Джульетта Краткий пересказ произведения У. Шекспира,
101291,Тихий Дон. Краткий пересказ произведения М. Шолохова,
263380,Жизнь. Болезнь. Смерть,
95835,Беседы о вере и Церкви,
246377,Быть христианином,
310128,Война и мир Краткий пересказ произведения Л. Толстого,
149626,Портрет Дориана Грея Краткий пересказ произведения О. Уальда,
318093,Отцы и дети Краткий пересказ произведения И. Тургенева,
168259,Современный Декамерон комического и смешного. День второй,
63005,Роман о любви,
75516,"Бывает, что вы получились иначе",
93005,Петербургский сыск. 1870 – 1874,
319178,Сборник сказок Волшебницы Эсфиньон,
169951,Огни притона,
95837,Акварелька. Детские сказки,
207669,Мистическая история Донбасса,
102091,Приключения Шерлока Холмса и доктора Ватсона,
161088,История Рима,
39985,Как похудеть сладкоежке,
231358,Робин Гуд,
190388,Калевала,
40244,Последний из могикан,
47194,Абидосская невеста,
20607,Как похудеть за 7 дней. Экспресс-диета,
262151,Божественная комедия. Рай,
296833,Последнее дело Холмса,
310516,Алые паруса. Краткий пересказ А. Грина,
210371,Гамлет. Краткий пересказ произведения В. Шекспира,
293507,"Там, где остановилось время",
144808,Бедная мисс Финч. Закон и жена. Тайна,
51066,Корсар,
287717,Чайльд Гарольд,
51091,Паризина,
181189,Манфред,
303414,Приключения доисторического мальчика,
106230,Круглый год,
151175,Лесной гном,
38345,Сказка о трех золотых драконах,
303578,Сонети,
270442,Кофейная,
148171,Болезнь и смерть,
29122,"Душа и ангел – не тело, а дух",
18796,Грехи и страсти и борьба с ними,
231258,Наставления в духовной жизни,
212504,Путь ко спасению. Краткий очерк аскетики,
272039,Три слова о несении креста,
267267,Мемуары и рассказы,
215956,Сказка о Иване-царевиче и Сером Волке,
87963,Хозяин гиблого места,2015
226751,Франсуаза,1891
285846,Сила привычки,1905
124434,Дорогие уроки,
252369,Один из многих,
10720,Хороших кровей,1913
119595,Повестка,
241080,Супруга,
255523,Сапожник и нечистая сила,
265097,Лебединая песня (Калхас) (драматический этюд в одном действии),1886
32320,Игра,
59269,"Сеньора де Лонжевиль, или отмщенная женщина",
161456,В суде,
69260,Последнее свидание,1912
81513,Иван Великий,1966
251984,Метель,
300874,Сентиментальный потоп,
31233,Переполох,1886
319156,Работник Емельян и пустой барабан,1886
32133,Веселая вечеринка,
68658,Панорама Москвы,1834
86930,Пассажир 1-го класса,
176506,Беглец,
196460,Пари,
211730,"Партизанская выдержка, или Валенки летом",1922
316395,Тяжелые люди,
2362,Добродетели и пороки,1883
187772,В Москве,
252386,Как я искал секретаршу,
296752,Пять картин,1965
152407,Эротический этюд № 1,
183578,Сказка для детей,1839-1840
153865,Красавицы,
273651,Разноцветная бабочка (легенда),
90053,Туан,
186513,Часы,1934
272694,Кедровая шишка,
152182,И гром не грянул,2001
27545,Большая дорога,2001
317538,Визит,
165140,Не бойтесь! Мария Гансовна уже скончалась,
107313,Дикие,
74465,Всё самое необходимое,2008
202851,Взмах крыла,2009
15140,Поэма конца,
162084,Счастье,
271671,Из записок вспыльчивого человека,
150247,"Я женщина терпеливая, но…",
314814,Железный Миргород (очерки об Америке),1923
50495,Сокурсница,2002
320435,Дверь,
175080,Шестое чувство,2007
178789,Подземелье,2007
43633,Твердыня Роз,2003
225926,Право битвы,
3467,Жанно и Колен,
59332,Сосны,
100640,Авария,1988
99936,Первая любовь,1890
38020,Последняя апелляция,2007
68615,Литвинка,1832
225169,Возможно ли убийство двойником?,
14536,Завтра,
272874,Светящийся диск,
157328,Домовой,
282448,Забава,
54467,Мое имя вам известно,
47890,Карма,
227512,"Где любовь, там и Бог",1885
136901,Хорошие люди,
30590,Бьянка,
40253,Консервы,2005
48725,Бабушка и Сталин,
78656,Возвращение на землю,
65314,Женщина из прошлого,
99678,Из крякв,
234447,…Все это следует шить…,
288068,"Шла и смеялась, шла и смеялась…",
186418,"Трое в доме, не считая собаки",
197944,"Дочки, матери, птицы и острова",
89268,Имя для героя,2019
310673,Роль писателя Пьецуха в жизни продавщицы колбасы Вали Веретенниковой,
37467,Невеста,1903
308338,Кровать Молотова,
257891,Истинный маг,
102536,Сказки,1914-1920
163437,Дядя Хлор и Корякин,
66417,Принципы коммунизма,
224510,Танец страсти с Востока. 15 минут в день,2005
308115,Вечер был…,1975
79108,Милая,2004
157652,Избавление,
312369,Ингрид,
165626,Случай с Кузьменко,1979
23775,Ёкэлэмэнэ,
169264,"Крюк, или Анданте для одной молодой женщины, двух мертвых бабочек и нескольких мужчин",
86994,Радости жизни,
98448,Седьмое измерение (Фантастические миниатюры – сборник),1971-1975
92718,"Дивны дела твои, Господи…",
54749,Тропою снежного барса,
248866,Филиал,
24302,Лунный бассейн [Лунная заводь],1919
60474,Северное сияние,
160479,Генералисимус Суворов,
258801,Маленький дракон,2000
217203,Последняя крепость,
100012,Борис Годунов (киносценарий),
161001,Откровения о человеке в творчестве Достоевского,
5941,Суходол,1911
273877,Мой приятель Молчун,
169603,Иванов (драма в четырех действиях),1887
116461,Философия силы,
266732,В дурном обществе,1885
123355,Эротический этюд № 52,
107359,"Власть тьмы, или «Коготок увяз, всей птичке пропасть»",1887
185195,Ищейка,1990
270327,Маков цвет (драма в 4-х действиях),1907
102727,Конфуций. Его жизнь и философская деятельность,
271829,Испанцы,1830
185536,Корина и волшебный единорог,
8916,Виктор Гюго. Его жизнь и литературная деятельность,
162334,Луций Анней Сенека. Его жизнь и философская деятельность,
209447,Стрелы Перуна с разделяющимися боеголовками,1994
162657,Красный ястреб,1926
299324,Виссарион Белинский. Его жизнь и литературная деятельность,
316179,Юлий Цезарь. Его жизнь и военная деятельность,
159831,Авраам Линкольн. Его жизнь и общественная деятельность,
305398,Княгиня Лиговская,1838
224644,Пушкин. Его жизнь и литературная деятельность,
129178,Земля навылет,2005
40896,Сократ. Его жизнь и философская деятельность,
269300,"Аристотель. Его жизнь, научная и философская деятельность",
97469,Эмиль Золя. Его жизнь и литературная деятельность,
165365,"Бенджамин Франклин. Его жизнь, общественная и научная деятельность",
84103,Исаак Ньютон. Его жизнь и научная деятельность,
256292,Гоголь. Его жизнь и литературная деятельность,
59342,Семейное счастие,1859
152251,"Генри Мортон Стэнли. Его жизнь, путешествия и географические открытия",
212871,Фантом-такси (сборник рассказов),1999-2000
155127,Люди с Луны,1919
111872,Григорий Потемкин. Его жизнь и общественная деятельность,
280287,Афоризмы йога Патанджали,
176045,"Стихотворения, поэмы",
36149,"Михаил Ломоносов. Его жизнь, научная, литературная и общественная деятельность",
85525,Томас Мор (1478-1535). Его жизнь и общественная деятельность,
98509,Адам Смит. Его жизнь и научная деятельность,
291191,Достоевский. Его жизнь и литературная деятельность,
227853,Св. Иоанн Креста,1941
218064,Начни свой бизнес: самоучитель,
31289,Св. Тереза Иисуса,1941
297553,Пивотерапия (сборник),
97925,Петр Великий. Его жизнь и государственная деятельность,
78516,Патриарх Никон,1891
8780,Вадим,1833
265155,Александр Васильевич Суворов. Его жизнь и военная деятельность,
99426,Мартин Лютер. Его жизнь и реформаторская деятельность,
178240,Оценка и управление недвижимостью: конспект лекций,
283979,Стратегический менеджмент: конспект лекций,
241421,Русские частушки,
9713,Бизнес-планирование: как составить бизнес-план,
258191,Абсолютное оружие. Как убить конкуренцию: захват и удержание рынка,
92904,Петр Великий и его гений,
130103,Ключ Соломона. Код мирового господства,2007
16971,Евангелие от Иуды,2007
63256,Наше сердце,
49751,Путь к самопознанию человека. Порог духовного мира,
270887,Миросозерцание Достоевского,
230378,Новая молодежная политика (2003-2005 г.г.),
46570,Бизнес-леди в большом городе,
128991,Дух и реальность,
2668,Царьградская пленница,1969
130611,Деньги. Кредит. Банки: конспект лекций,
303028,Ценообразование,2008
80058,Истоки и смысл русского коммунизма,
110501,Россия и мир в 2020 году,
247284,Достоевский и Ницше,
122060,Бизнес-кредит: технологии получения,
315603,Банковское дело,
283601,Международное частное право: учебное пособие,
19959,Покупка дома и участка,
19971,Как поступить в американский университет и обучаться в нем бесплатно,
142319,Банковский аудит,
150574,Психологическая подготовка к рукопашному бою,
65376,Калямбра,2008
64535,Практическая психология для менеджера,2003
69890,Неизгладимые знаки: Татуировка как исторический источник,
223948,Корпоративные финансы,
126128,Правовое обеспечение предпринимательства,
30347,Образование СССР (1917-1924 гг.),
140149,Система здоровья Ниши: Методика. Упражнения. Медитация,2009
242383,Английский язык: самоучитель,
111198,Пелагия и белый бульдог,2000
301857,История знаменитых преступлений (сборник),
283348,Банковское дело: конспект лекций,
120090,Бухгалтерский учет,
227895,Антикризисная книга Коммерсантъ'a,
109775,План президента Путина. Руководство для будущих президентов России,
223468,Киргегард и экзистенциальная философия,
107026,Разговор дороже денег. Как блогинг меняет общение бизнеса и потребителей,
123779,Философия неравенства,
172525,Оккультный Сталин,
302175,Мировая экономика,
294104,«…Расстрелять!»,
282288,Пелагия и черный монах,2001
130392,Очерки русской смуты. Вооруженные силы Юга России. Январь 1919 г. – март 1920 г.,
270491,Алтын-Толобас,2000
62560,Экономика недвижимости: конспект лекций,
243409,Очарованный принц,1954
186481,Сердце змеи (сборник),
285161,День Дьявола,1999
84053,Фарс-мажор. Актеры и роли большой политики,
114342,Кристалл Альвандера,2007
227847,История России с древнейших времен. Том 26,
210831,Философия свободного духа,
116820,Смысл творчества,1916
191019,Корабль Альвандера,2007
154216,Психиатрические эскизы из истории. Том 1,
67290,Прах и пепел,1991-1994
278623,Воспоминания,
48485,О назначении человека,
23497,Тайна Запада. Атлантида – Европа,1930
264422,Оккультный Гитлер,
112521,Сказки русских писателей,
81196,Пословицы и поговорки русского народа,
126547,Дорога ветров,1955
74792,Философия истории,
304460,Философия: конспект лекций,
11451,Непостижимое,
162298,Европа без России,
131518,Первые Романовы,
218365,Час Быка,1968
49452,По направлению к Свану,1913
249970,Вся политика. Хрестоматия,
57879,Энциклопедия «Биология». Часть 1. А – Л (с иллюстрациями),
205833,Этносфера: история людей и история природы,
120983,От Тильзита до Эрфурта,1891-1893
163499,Екатерина Великая. (Роман императрицы),1934
37804,Кавказская война. Том 4. Турецкая война 1828-1829гг.,
295148,Страх,1984-1990
288325,Разрыв франко-русского союза,1891-1893
152602,Кавказская война. Том 1. От древнейших времен до Ермолова,
321371,Энциклопедия «География». Часть 2. М – Я (с иллюстрациями),
298067,Лезвие бритвы,1963
73532,У Германтов,1922
139486,Живу беспокойно... (из дневников),
196120,Цусима,
218347,"Об истине, жизни и поведении",
155167,Угрюм-река,1933
30900,Полный курс лекций по русской истории,
5705,"Емельян Пугачев, т.1",1935-1945
282270,Энциклопедия «Биология» (с иллюстрациями),
245272,Энциклопедия «География» (без иллюстраций),
275995,Энциклопедия «География» (с иллюстрациями),
125132,Русская история. Полный курс лекций,1872-1875
302558,Оратор,
276741,Поэма о 36,1924
173876,Эротический этюд № 22,
147723,Модный адвокат,
277525,Розовый чулок,
306997,Наказанный сводник,
41996,Неизвестный цветок,1969
226486,Француженка,
180534,Преступник,1829
45015,Эротический этюд № 17,
74863,Темнота,
271889,Семья разговляется,
104735,Исповедь,
170220,Око за око,
263753,Эротический этюд № 32,
247706,Переулочки,
224071,Серьезный шаг,
250922,Эротический этюд № 31,
263453,Месть,
242798,Удав и кролик,
49606,Шуточка,1886
208616,Волчья ночь,
313081,Кокаин,
91271,Репетитор,
233501,Арабские сказки,
69525,Лев и солнце,
155362,Оргия,
290989,Коко,
55858,Кавказец,1841
183915,Эротический этюд № 16,
321612,Эротический этюд № 51,
196484,В потемках,1886
214053,Балерина,1976
167582,Мой герой,2007
307007,Эротический этюд № 49,
117187,Тонкая психология,
31738,У самого моря,
265254,Поэма воздуха,
