genre_id,name
436,Конфликты
437,Риски
438,Агрохимия
439,Политические партии
440,Отдых / туризм
441,Привлечение инвестиций
442,Организационный менеджмент
443,Лояльность
444,Растениеводство
445,Эротические рассказы и истории
446,Коран / пророки
447,Радиолокация
448,Опера / балет
449,Газеты
450,Искусство фотографии
451,Микробиология
452,Ветеринария
453,Уголовный кодекс РФ
454,Управление ассортиментом
455,Фармация
456,Механика
457,Материаловедение
458,Библиография
459,Испанский язык
460,Эстетика
461,Тимбилдинг
462,Стартапы и создание бизнеса
463,Отношения с клиентами
464,Литература 11 класс
465,Литература 9 класс
466,Литература 5 класс
467,Литература 6 класс
468,Языковые словари
469,Педиатрия и неонатология
470,Литература 7 класс
471,Литература 8 класс
472,Финансовое право
473,Польский язык
474,Электроэнергетика
475,Издательское дело
476,ЕГЭ по русскому языку
477,Учебники и пособия для ссузов
478,Управление качеством
479,Самоучители
480,Основы строительства
481,Отдельные виды строительства
482,Общая патология
483,Воздушный транспорт
484,Финансовые инструменты
485,Экономика развитых стран
486,Арбитражное процессуальное право
487,Инновации в бизнесе
488,Project-менеджмент
489,Классика приключенческой литературы
490,Школьные учебники по чтению
491,Архитектурные конструкции
492,Проектирование
493,Проектирование в строительстве
494,Эротика ЛГБТ
495,Анестезиология
496,Реаниматология
497,Толковые словари
498,Эффективность бизнеса
499,Копирайтинг
500,Прикладные отрасли медицины
501,Акционерное право
502,Аттестация персонала
503,Нормативная документация
504,Эксплуатация промышленного оборудования
505,Управление экономикой
506,Гражданский кодекс РФ
507,История политических учений
508,Работа с долгами
509,Даосизм / конфуцианство
510,Биохимия
511,Макроэкономика
512,Фанфик
513,Классический маркетинг
514,Физкультура и спорт
515,Комиксы / манга
516,Бытовые справочники
517,ЕГЭ по истории
518,Школьные учебники по истории
519,Учебные справочники
520,Учебники по психологии
521,Железнодорожный транспорт
522,Бизнес-план
523,Отраслевая и межотраслевая экономика
524,Благоустройство территории
525,Источниковедение
526,Финансовый менеджмент
527,Оториноларингология
528,Эффективная презентация
529,Научно-популярные журналы
530,Буквари
531,Уголовно-процессуальный кодекс РФ
532,Компьютерная справочная литература
533,Памятники истории и культуры
534,Бизнес-справочники
535,Материалы конференций
536,Выход из бизнеса
537,Молитвы в исламе
538,Партизанский маркетинг
539,Научные справочники
540,Экономический анализ
541,Производство птицы
542,Электроника
543,Forex
544,Экономика развивающихся стран
545,Научные доклады
546,Консалтинг
547,Космический транспорт
548,Директ-маркетинг
549,История экономических учений
550,Токсикология
551,Иммунология и аллергология
552,Эпидемиология
553,Музеи и коллекции
554,Танцы
555,Корпоративные финансы
556,СМИ
557,Первобытное общество
558,Технический анализ
559,Машиностроение
560,Безалкогольные напитки
561,ЕГЭ по иностранному языку
562,Cемья
563,дети
564,воспитание
565,Психология
566,Личная эффективность / продуктивность
567,Маркетинг и реклама
568,Переговоры и продажи
569,Управление персоналом и лидерство
570,Истории успеха и биографии
571,Здоровый образ жизни / фитнес
572,Наука и технологии
573,Бизнес-процессы / инновации
574,Финансы
575,инвестиции
576,экономика
577,Экономическая статистика
578,Школьные учебники по биологии
579,Вирусология
580,IT-менеджмент
581,Пищевое производство
582,Холодные продажи
583,Японский менеджмент
584,Научно-практические журналы
585,ГИА по истории (ОГЭ
586,ГВЭ)
587,Конституция РФ
588,Документы
589,жалобы
590,образцы
591,Производственный менеджмент
592,Акафисты
593,ГИА по биологии (ОГЭ
594,ЕГЭ по биологии
595,ГИА по литературе (ОГЭ
596,ЕГЭ по литературе
597,Школьные учебники по литературе
598,ГИА по обществознанию (ОГЭ
599,Политическое управление
600,Альманахи
601,Книги для священнослужителей
602,Католицизм
603,Дистрибуция
604,Прически / уход за волосами
605,Математика 2 класс
606,Математика 1 класс
607,Русский язык 1 класс
608,Бизнес-журналы
609,Юридические журналы
610,Событийный маркетинг
611,Русский язык 2 класс
612,Русский язык 3 класс
613,Русский язык 4 класс
614,География 7 класс
615,Обществознание 10 класс
616,Обществознание 11 класс
617,Обществознание 9 класс
618,Орфографические словари
619,Биографические справочники
620,Чтение 4 класс
621,Математика 3 класс
622,Рабочие тетради / прописи
623,Урология и нефрология
624,Общественное питание
625,Водный транспорт
626,Школьные учебники по французскому языку
627,Социокультурная деятельность
628,Научная литература по психологии
629,Мерчендайзинг
630,Бродильные производства
631,ГИА по географии (ОГЭ
632,География 9 класс
633,ГИА по иностранному языку (ОГЭ
634,Иностранный язык 9 класс
635,Школьные учебники по английскому языку
636,Биология 9 класс
637,ГИА по химии (ОГЭ
638,Химия 9 класс
639,Школьные учебники по музыке
